iter,dual_obj,r,f_evals,∇f_evals
0,-1.0000000000000007,0.036732696507538944,1,1
1,-1.0065342769689132,1.2258714401522552,5,5
2,-1.0077956675769715,0.13596784397871015,8,8
3,-1.0078144527879143,0.02767093044678859,13,13
4,-1.007815579707791,0.018545788405697067,17,17
5,-1.0078158639310901,0.0016395569182031944,22,22
6,-1.00781605144051,0.007683417508113605,27,27
7,-1.0078162184954997,0.004065727270225167,33,33
8,-1.0078169554922614,0.010056511218283909,37,37
9,-1.0078170311894308,0.0019249452553641855,42,42
10,-1.0078171878980156,0.0022321684572077505,45,45
11,-1.0078172219480857,0.0006283207266601087,49,49
12,-1.0078172247631083,0.0002698591744284551,53,53
13,-1.0078172245195285,0.00019984707161857518,60,60
14,-1.007817225388489,0.0002231233424926926,65,65
15,-1.0078172252630944,9.246036043741857e-5,70,70
16,-1.0078172252295268,9.05724783473727e-5,85,85
17,-1.007817225403774,0.00011811076141585164,90,90
18,-1.0078172253940347,4.333874638406954e-5,95,95
19,-1.0078172253605235,5.669595633070457e-5,108,108
20,-1.0078172254236513,6.664102811237971e-5,113,113
21,-1.0078172254191173,2.7620026551183896e-5,118,118
22,-1.0078172254143951,2.8980837489395173e-5,132,132
23,-1.0078172254331137,4.3727544930205475e-5,137,137
24,-1.0078172254317528,1.4263614683929227e-5,142,142
25,-1.007817225434662,1.847162048873585e-5,148,148
26,-1.0078172254400755,2.020034379449087e-5,153,153
27,-1.0078172254408055,9.740378357769863e-6,158,158
28,-1.007817225449613,1.66349157534329e-5,164,164
29,-1.0078172254523254,2.6250744699390927e-5,169,169
30,-1.0078172254574649,2.000787398295789e-5,174,174
31,-1.0078172254576179,1.3641195953956187e-5,178,178
32,-1.007817225458158,5.93903041470889e-6,183,183
33,-1.0078172254581537,2.6332783326366016e-6,187,187
34,-1.0078172254580797,2.4776365533107914e-6,193,193
35,-1.0078172254577176,4.280790164401527e-6,200,200
36,-1.0078172254580968,1.087042787920045e-5,204,204
37,-1.007817225458015,7.042716121952175e-6,208,208
38,-1.00781722545707,7.43246808854181e-6,215,215
39,-1.0078172254581828,7.328824348368235e-6,220,220
40,-1.00781722545797,4.377098963781467e-6,224,224
41,-1.007817225457855,3.7288352862097085e-6,234,234
42,-1.0078172254581779,4.816660669648698e-6,239,239
43,-1.0078172254581452,1.4955994278031959e-6,244,244
44,-1.007817225458111,2.2198005356077743e-6,253,253
45,-1.0078172254581859,4.767682977940835e-6,257,257
46,-1.0078172254581697,3.1088951379376617e-6,261,261
47,-1.007817225458021,2.731160082786177e-6,268,268
48,-1.0078172254582054,2.895518430301447e-6,273,273
49,-1.0078172254581772,1.4857537259660436e-6,277,277
50,-1.0078172254581454,1.7858531905223796e-6,285,285
51,-1.0078172254582054,1.7625077388117028e-6,290,290
52,-1.0078172254581979,1.4532778779829947e-6,294,294
53,-1.0078172254581503,1.5411558857147956e-6,302,302
54,-1.0078172254582083,1.6853544705375256e-6,307,307
55,-1.007817225458201,1.0174875808566242e-6,311,311
56,-1.0078172254581759,1.2978788991868662e-6,320,320
57,-1.0078172254582094,1.2344448434564725e-6,325,325
58,-1.007817225458205,9.181078802766862e-7,329,329
